provincia,country,lat,long,dates,value
,Albania,41.15330000,20.16830000,2020-07-02,1559
,Albania,41.15330000,20.16830000,2020-07-03,1592
,Albania,41.15330000,20.16830000,2020-07-04,1637
,Albania,41.15330000,20.16830000,2020-07-05,1657
,Albania,41.15330000,20.16830000,2020-07-06,1702
,Albania,41.15330000,20.16830000,2020-07-07,1744
,Albania,41.15330000,20.16830000,2020-07-08,1791
,Albania,41.15330000,20.16830000,2020-07-09,1832
,Albania,41.15330000,20.16830000,2020-07-10,1875
,Albania,41.15330000,20.16830000,2020-07-11,1881
,Albania,41.15330000,20.16830000,2020-07-12,1946
,Albania,41.15330000,20.16830000,2020-07-13,2014
,Albania,41.15330000,20.16830000,2020-07-14,2062
,Albania,41.15330000,20.16830000,2020-07-15,2091
,Albania,41.15330000,20.16830000,2020-07-16,2137
,Albania,41.15330000,20.16830000,2020-07-17,2214
,Albania,41.15330000,20.16830000,2020-07-18,2264
,Albania,41.15330000,20.16830000,2020-07-19,2311
,Albania,41.15330000,20.16830000,2020-07-20,2352
,Albania,41.15330000,20.16830000,2020-07-21,2397
,Albania,41.15330000,20.16830000,2020-07-22,2463
,Albania,41.15330000,20.16830000,2020-07-23,2523
